"住所CD","都道府県CD","市区町村CD","町域CD","郵便番号","事業所フラグ","廃止フラグ","都道府県","都道府県カナ","市区町村","市区町村カナ","町域","町域カナ","町域補足","京都通り名","字丁目","字丁目カナ","補足","事業所名","事業所名カナ","事業所住所","新住所CD"
60000000,1,1101,11010000,"060-0000",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク",,"　","（該当なし）",,,,,,,,
60872100,1,1101,11010000,"060-8721",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク",,"　","（該当なし）",,,,,"大丸　株式会社　紙包材営業本部","ダイマル　カブシキガイシヤ　カミホウザイエイギヨウホンブ","北３条西１４丁目２番",
60860200,1,1101,11010000,"060-8602",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク",,"　","（該当なし）",,,,,"株式会社　朝日新聞社　北海道支社","カブシキカイシヤ　アサヒシンブンシヤ　ホツカイドウシシヤ","北１条西１丁目６番地さっぽろ創生スクエア９階",
60855200,1,1101,11010000,"060-8552",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク",,"　","（該当なし）",,,,,"損害保険ジャパン日本興亜　株式会社","ソンガイホケンジヤパンニツポンコウア　カブシキガイシヤ","北１条西６丁目２番地損保ジャパン日本興亜札幌ビル",
60850400,1,1101,11010000,"060-8504",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク",,"　","（該当なし）",,,,,"富士通　株式会社　北海道支社","フジツウ　カブシキガイシヤ　ホツカイドウシシヤ","北２条西４丁目１番地札幌三井ＪＰビルディング",
60840600,1,1101,11010000,"060-8406",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク",,"　","（該当なし）",,,,,"北海道テレビ放送　株式会社","ホツカイドウテレビホウソウ　カブシキカイシヤ","北１条西１丁目６番地",
64863300,1,1101,11010000,"064-8633",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク",,"　","（該当なし）",,,,,"株式会社　ビッグ","カブシキガイシヤ　ビツグ","南４条西７丁目６番地ビッググループ本社ビル",
64856500,1,1101,11010000,"064-8565",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク",,"　","（該当なし）",,,,,"北海道トラック交通共済協同組合","ホツカイドウトラツクコウツウキヨウサイキヨウドウクミアイ","南９条西１丁目１番１１号",
64094100,1,1101,11010001,"064-0941",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","旭ケ丘","アサヒガオカ",,,,,,,,,
64857500,1,1101,11010001,"064-8575",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","旭ケ丘","アサヒガオカ",,,,,,"社会福祉法人　札幌慈啓会　慈啓会病院","シヤカイフクシホウジン　サツポロジケイカイ　ジケイカイビヨウイン","旭ケ丘５丁目６番５０号",
64853500,1,1101,11010001,"064-8535",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","旭ケ丘","アサヒガオカ",,,,,,"北海道　札幌旭丘高等学校","ホツカイドウ　サツポロアサヒオカコウトウガツコウ","旭ケ丘６丁目５番１８号",
60004200,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"１丁目","０１チョウメ",,,,,
60004201,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"２丁目","０２チョウメ",,,,,
60004202,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"３丁目","０３チョウメ",,,,,
60004203,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"４丁目","０４チョウメ",,,,,
60004204,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"５丁目","０５チョウメ",,,,,
60004205,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"６丁目","０６チョウメ",,,,,
60004206,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"７丁目","０７チョウメ",,,,,
60004207,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"８丁目","０８チョウメ",,,,,
60004208,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"９丁目","０９チョウメ",,,,,
60004209,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"１０丁目","１０チョウメ",,,,,
60004210,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"１１丁目","１１チョウメ",,,,,
60004211,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"１２丁目","１２チョウメ",,,,,
60004212,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"１３丁目","１３チョウメ",,,,,
60004213,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"１４丁目","１４チョウメ",,,,,
60004214,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"１５丁目","１５チョウメ",,,,,
60004215,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"１６丁目","１６チョウメ",,,,,
60004216,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"１７丁目","１７チョウメ",,,,,
60004217,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"１８丁目","１８チョウメ",,,,,
60004218,1,1101,11010002,"060-0042",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"１９丁目","１９チョウメ",,,,,
64082000,1,1101,11010002,"064-0820",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"２０丁目","２０チョウメ",,,,,
64082001,1,1101,11010002,"064-0820",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"２１丁目","２１チョウメ",,,,,
64082002,1,1101,11010002,"064-0820",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"２２丁目","２２チョウメ",,,,,
64082003,1,1101,11010002,"064-0820",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"２３丁目","２３チョウメ",,,,,
64082004,1,1101,11010002,"064-0820",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"２４丁目","２４チョウメ",,,,,
64082005,1,1101,11010002,"064-0820",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"２５丁目","２５チョウメ",,,,,
64082006,1,1101,11010002,"064-0820",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"２６丁目","２６チョウメ",,,,,
64082007,1,1101,11010002,"064-0820",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"２７丁目","２７チョウメ",,,,,
64082008,1,1101,11010002,"064-0820",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,"２８丁目","２８チョウメ",,,,,
60863200,1,1101,11010002,"060-8632",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"前田建設工業　株式会社　北海道支店","マエダケンセツコウギヨウ　カブシキガイシヤ　ホツカイドウシテン","大通西７丁目１番１号井門札幌パークフロントビル８階",
60862700,1,1101,11010002,"060-8627",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"社団法人　北海道医師会","シヤダンホウジン　ホツカイドウイシカイ","大通西６丁目６番地",
60853100,1,1101,11010002,"060-8531",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"東京海上日動火災保険　株式会社","トウキヨウカイジヨウニチドウカサイホケン　カブシキガイシヤ","大通西３丁目７番地北洋大通センター１５Ｆ～１７Ｆ",
60862400,1,1101,11010002,"060-8624",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"日立キャピタル　（株）　北海道営業本部","ヒタチキヤピタル　カブシキガイシヤ　ホツカイドウエイギヨウホンブ","大通西３丁目１１番地",
60862201,1,1101,11010002,"060-8622",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"第一三共ヘルスケア　株式会社　東日本支店　札幌オフィス","ダイイチサンキヨウヘルスケア　カブシキガイシヤ　ヒガシニホンシテン　サツポロオフイス","大通西８丁目１番地８",
60862200,1,1101,11010002,"060-8622",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"第一三共　株式会社　札幌支店","ダイイチサンキヨウ　カブシキガイシヤ　サツポロシテン","大通西８丁目１番地８",
60852300,1,1101,11010002,"060-8523",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"札幌日産自動車　株式会社","サツポロニツサンジドウシヤ　カブシキガイシヤ","大通西１７丁目１番地２３",
60862000,1,1101,11010002,"060-8620",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"（株）　道新サービスセンター　オントナ事業部","カブシキガイシヤ　ドウシンサ－ビスセンタ－　オントナジギヨウブ","大通西１８丁目１道新西ビル",
60861400,1,1101,11010002,"060-8614",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"一般財団法人　札幌市交通事業振興公社","イツパンザイダンホウジン　サツポロシコウツウジギヨウシンコウコウシヤ","大通西５丁目地下鉄大通駅西側コンコース内",
60864000,1,1101,11010002,"060-8640",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"株式会社　北海道二十一世紀総合研究所","カ）　ホツカイドウニジユウイツセイキソウゴウケンキユウシヨ","大通西３丁目１１番地北洋ビル",
60864600,1,1101,11010002,"060-8646",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"株式会社　ロイズコンフェクト","カブシキガイシヤ　ロイズコンフエクト","大通西５丁目１１番地１",
60858100,1,1101,11010002,"060-8581",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"社団法人　札幌市医師会","シヤダンホウジン　サツポロイシカイ","大通西１９丁目",
60867000,1,1101,11010002,"060-8670",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"北海道信用保証協会","ホツカイドウシンヨウホシヨウキヨウカイ","大通西１４丁目１",
60877600,1,1101,11010002,"060-8776",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"道新ぶんぶんクラブ「フレーっ！フレーっ！キャンペーン」事務局","ドウシンブンブンクラブ＜フレ－ツ！フレ－ツ！キヤンペ－ン＞ジムキヨク","大通西３丁目６",
60867600,1,1101,11010002,"060-8676",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"株式会社　北海道銀行","カブシキガイシヤ　ホツカイドウギンコウ","大通西４丁目１",
60860100,1,1101,11010002,"060-8601",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"大和証券　株式会社　札幌支店","ダイワシヨウケン　カブシキガイシヤ　サツポロシテン","大通西３丁目７番地",
60871100,1,1101,11010002,"060-8711",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"株式会社　北海道新聞社","カブシキガイシヤ　ホツカイドウシンブンシヤ","大通西３丁目６",
60870300,1,1101,11010002,"060-8703",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"日本放送協会　札幌放送局　（ＮＨＫ）","ニツポンホウソウキヨウカイ　サツポロホウソウキヨク　（エヌエイチケイ）","大通西１丁目１",
60854500,1,1101,11010002,"060-8545",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"株式会社　電通北海道","カブシキガイシヤ　デンツウホツカイドウ","大通西５丁目１１－１",
60866100,1,1101,11010002,"060-8661",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"株式会社　北洋銀行　本店","カブシキガイシヤ　ホクヨウギンコウ　ホンテン","大通西３丁目７番地",
64863000,1,1101,11010002,"064-8630",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"株式会社　ダブルス","カブシキカイシヤ　ダブルス","大通２０丁目３－２４ダブルス大通ビル５Ｆ",
64858100,1,1101,11010002,"064-8581",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通西","オオドオリニシ",,,,,,"（株）　太陽","カブシキガイシヤ　タイヨウ","大通西２８丁目１番２号",
60004100,1,1101,11010003,"060-0041",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通東","オオドオリヒガシ",,,,,,,,,
60863900,1,1101,11010003,"060-8639",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通東","オオドオリヒガシ",,,,,,"北海道電力　株式会社　札幌支店","ホツカイドウデンリヨク　カブシキガイシヤ　サツポロシテン","大通東１丁目２",
60851700,1,1101,11010003,"060-8517",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通東","オオドオリヒガシ",,,,,,"株式会社　テレビ北海道　（ＴＶｈ）","カブシキガイシヤ　テレビホツカイドウ　（テイブイエイチ）","大通東６丁目１２",
60867700,1,1101,11010003,"060-8677",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","大通東","オオドオリヒガシ",,,,,,"北海道電力　株式会社","ホツカイドウデンリヨク　カブシキガイシヤ","大通東１丁目２",
60000100,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"１丁目","０１チョウメ",,,,,
60000101,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"２丁目","０２チョウメ",,,,,
60000102,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"３丁目","０３チョウメ",,,,,
60000103,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"４丁目","０４チョウメ",,,,,
60000104,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"５丁目","０５チョウメ",,,,,
60000105,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"６丁目","０６チョウメ",,,,,
60000106,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"７丁目","０７チョウメ",,,,,
60000107,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"８丁目","０８チョウメ",,,,,
60000108,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"９丁目","０９チョウメ",,,,,
60000109,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"１０丁目","１０チョウメ",,,,,
60000110,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"１１丁目","１１チョウメ",,,,,
60000111,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"１２丁目","１２チョウメ",,,,,
60000112,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"１３丁目","１３チョウメ",,,,,
60000113,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"１４丁目","１４チョウメ",,,,,
60000114,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"１５丁目","１５チョウメ",,,,,
60000115,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"１６丁目","１６チョウメ",,,,,
60000116,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"１７丁目","１７チョウメ",,,,,
60000117,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"１８丁目","１８チョウメ",,,,,
60000118,1,1101,11010004,"060-0001",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"１９丁目","１９チョウメ",,,,,
64082100,1,1101,11010004,"064-0821",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"２０丁目","２０チョウメ",,,,,
64082101,1,1101,11010004,"064-0821",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"２１丁目","２１チョウメ",,,,,
64082102,1,1101,11010004,"064-0821",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"２２丁目","２２チョウメ",,,,,
64082103,1,1101,11010004,"064-0821",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"２３丁目","２３チョウメ",,,,,
64082104,1,1101,11010004,"064-0821",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"２４丁目","２４チョウメ",,,,,
64082105,1,1101,11010004,"064-0821",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"２５丁目","２５チョウメ",,,,,
64082106,1,1101,11010004,"064-0821",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"２６丁目","２６チョウメ",,,,,
64082107,1,1101,11010004,"064-0821",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"２７丁目","２７チョウメ",,,,,
64082108,1,1101,11010004,"064-0821",0,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,"２８丁目","２８チョウメ",,,,,
60861700,1,1101,11010004,"060-8617",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"清水建設　（株）　北海道支店","シミズケンセツ　カブシキガイシヤ　ホツカイドウシテン","北一条西２丁目１番地",
60862100,1,1101,11010004,"060-8621",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"株式会社　日本経済新聞社　札幌支社","（カブ）　ニホンケイザイシンブンシヤ　サツポロシシヤ","北一条西６丁目１－２アーバンネット札幌ビル２Ｆ",
60870500,1,1101,11010004,"060-8705",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"札幌テレビ放送　株式会社　（ＳＴＶ）","サツポロテレビホウソウ　カブシキガイシヤ　（エステイ－ブイ）","北一条西８丁目１－１",
60870600,1,1101,11010004,"060-8706",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"札幌テレビ放送　株式会社　（ＳＴＶ）","サツポロテレビホウソウ　カブシキガイシヤ　（エステイブイ）","北一条西８丁目１－１",
60861100,1,1101,11010004,"060-8611",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"札幌市役所","サツポロシヤクシヨ","北一条西２丁目",
60861000,1,1101,11010004,"060-8610",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"札幌商工会議所","サツポロシヨウコウカイギシヨ","北一条西２丁目経済センタービル",
60860900,1,1101,11010004,"060-8609",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"三井住友海上火災保険　（株）","ミツイスミトモカイジヨウカサイホケン　カブシキガイシヤ","北一条西７丁目１",
60860700,1,1101,11010004,"060-8607",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"北海道商工会連合会","ホツカイドウシヨウコウカイレンゴウカイ","北一条西７丁目１番地",
60870700,1,1101,11010004,"060-8707",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"札幌テレビ放送　株式会社　（ＳＴＶ）　どさんこワイド２１２","サツポロテレビホウソウ　カブシキガイシヤ　（エステイブイ）　ドサンコワイド２１２","北一条西８丁目１－１",
60872500,1,1101,11010004,"060-8725",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"北海道労働金庫　本部","ホツカイドウロウドウキンコ　ホンブ","北一条西５丁目３－１０",
60861300,1,1101,11010004,"060-8613",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"ＡＩＧエジソン生命保険　株式会社　北海道事務センター","エ－アイ－ジ－エジソンセイメイホケン　カブシキカイシヤ　ホツカイドウジムセンタ－","北一条西４丁目２－２札幌ノースプラザ１０Ｆ",
60852900,1,1101,11010004,"060-8529",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"日本製粉　（株）　札幌支店","ニホンセイフン　カブシキガイシヤ　サツポロシテン","北一条西５丁目２番地北１条三井ビルディング３Ｆ",
60860500,1,1101,11010004,"060-8605",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"株式会社　インテリジェンス","カブシキガイシヤ　インテリジエンス","北一条西６丁目１番地２アーバンネット札幌ビル２Ｆ",
60850100,1,1101,11010004,"060-8501",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"北海道放送　株式会社　（ＨＢＣ）","ホツカイドウホウソウ　カブシキガイシヤ　（エイチビ－シ－）","北一条西５丁目",
60851500,1,1101,11010004,"060-8515",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"株式会社　東急コミュニティー　北海道支店","カブシキガイシヤ　トウキユウコミユニテイ－　ホツカイドウシテン","北一条西７丁目３北１条第一生命ビルディング２Ｆ",
60857700,1,1101,11010004,"060-8577",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"株式会社　ジャックス　札幌支社","カブシキガイシヤ　ジヤツクス　サツポロシシヤ","北一条西６丁目１－２アーバンネット札幌ビル５Ｆ",
60851600,1,1101,11010004,"060-8516",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"新日本法規出版　（株）　札幌支社","シンニホンホウキシユツパン　カブシキガイシヤ　サツポロシシヤ","北一条西７丁目５番",
60856000,1,1101,11010004,"060-8560",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"財団法人　北海道公立学校教職員互助会","ザイダンホウジン　ホツカイドウコウリツガツコウキヨウシヨクインゴジヨカイ","北一条西６丁目２番地損保ジャパン札幌ビル",
60853200,1,1101,11010004,"060-8532",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"（株）　エフエム北海道","カブシキガイシヤ　エフエムホツカイドウ","北一条西２丁目１番地札幌時計台ビル",
60879100,1,1101,11010004,"060-8791",1,1,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"（株）　ＪＴＢ北海道事業部　営業第４課内　北海道休業協力・感染リスク低減支援金事務局","カ）　ジエイテイビ－ホツカイドウジギヨウブ　エイギヨウダイヨンカナイ　ホツカイドウキユウギヨウキヨウリヨク・カンセンリスクテイゲンシエンキンジムキヨク","北一条西６丁目１－２アーバンネット札幌ビル８階",
60851900,1,1101,11010004,"060-8519",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"東日本電信電話　株式会社　北海道支店","ヒガシニホンデンシンデンワ　カブシキカイシヤ　ホツカイドウシテン","北一条西４丁目２番地４ＮＴＴ大通４丁目ビル",
60852700,1,1101,11010004,"060-8527",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"北海道文化放送　株式会社　（ＵＨＢ）","ホツカイドウブンカホウソウ　カブシキガイシヤ　（ユ－エイチビ－）","北一条西１４丁目",
64853000,1,1101,11010004,"064-8530",1,0,"北海道","ホッカイドウ","札幌市中央区","サッポロシチュウオウク","北一条西","キタ０１ジョウニシ",,,,,,"株式会社　ディー・ティー・ジャパン","カブシキガイシヤ　デイ－・テイ－・ジヤパン","北一条西２２丁目２番２１号",
